詞頻序號,詞目,,出現頻次,累積頻次,累積百分比
4537,驅逐,ㄑㄩ　ㄓㄨˊ,19,359501,67.772535
4538,儼然,ㄧㄢˇ　ㄖㄢˊ,19,359520,67.776117
4539,歡笑,ㄏㄨㄢ　ㄒㄧㄠˋ,19,359539,67.779699
4540,人脈,ㄖㄣˊ　ㄇㄞˋ,18,359557,67.783092
4541,入門,ㄖㄨˋ　ㄇㄣˊ,18,359575,67.786485
4542,八通關,,18,359593,67.789878
4543,下令,ㄒㄧㄚˋ　ㄌㄧㄥˋ,18,359611,67.793271
4544,下陷,ㄒㄧㄚˋ　ㄒㄧㄢˋ,18,359629,67.796664
4545,上昇,,18,359647,67.800057
4546,口碑,ㄎㄡˇ　ㄅㄟ,18,359665,67.80345
4547,大使,ㄉㄚˋ　ㄕˇ,18,359683,67.806843
4548,大展,ㄉㄚˋ　ㄓㄢˇ,18,359701,67.810236
4549,大廈,ㄉㄚˋ　ㄒㄧㄚˋ,18,359719,67.813629
4550,女郎,ㄋㄩˇ　ㄌㄤˊ,18,359737,67.817022
4551,子弟,ㄗˇ　ㄉㄧˋ,18,359755,67.820415
4552,小雞,ㄒㄧㄠˇ　ㄐㄧ,18,359773,67.823808
4553,中秋節,ㄓㄨㄥ　ㄑㄧㄡ　ㄐㄧㄝˊ,18,359791,67.827201
4554,五專,ㄨˇ　ㄓㄨㄢ,18,359809,67.830594
4555,元素,ㄩㄢˊ　ㄙㄨˋ,18,359827,67.833987
4556,公元,ㄍㄨㄥ　ㄩㄢˊ,18,359845,67.83738
4557,公民,ㄍㄨㄥ　ㄇㄧㄣˊ,18,359863,67.840773
4558,公益廣告,ㄍㄨㄥ　ㄧˋ　ㄍㄨㄤˇ　ㄍㄠˋ,18,359881,67.844166
4559,切割,ㄑㄧㄝ　ㄍㄜ,18,359899,67.847559
4560,反攻,ㄈㄢˇ　ㄍㄨㄥ,18,359917,67.850952
4561,天才,ㄊㄧㄢ　ㄘㄞˊ,18,359935,67.854345
4562,巴西,,18,359953,67.857738
4563,文藝,ㄨㄣˊ　ㄧˋ,18,359971,67.861131
4564,日據時代,ㄖˋ　ㄐㄩˋ　ㄕˊ　ㄉㄞˋ,18,359989,67.864524
4565,牛仔褲,ㄋㄧㄡˊ　ㄗㄞˇ　ㄎㄨˋ,18,360007,67.867917
4566,充足,ㄔㄨㄥ　ㄗㄨˊ,18,360025,67.87131
4567,出租,ㄔㄨ　ㄗㄨ,18,360043,67.874703
4568,半數,ㄅㄢˋ　ㄕㄨˋ,18,360061,67.878096
4569,可知,ㄎㄜˇ　ㄓ,18,360079,67.881489
4570,可貴,ㄎㄜˇ　ㄍㄨㄟˋ,18,360097,67.884882
4571,巧妙,ㄑㄧㄠˇ　ㄇㄧㄠˋ,18,360115,67.888275
4572,市府,ㄕˋ　ㄈㄨˇ,18,360133,67.891668
4573,平地,ㄆㄧㄥˊ　ㄉㄧˋ,18,360151,67.895061
4574,立法委員,ㄌㄧˋ　ㄈㄚˇ　ㄨㄟˇ　ㄩㄢˊ,18,360169,67.898454
4575,任何人,,18,360187,67.901847
4576,企畫,,18,360205,67.90524
4577,共有,ㄍㄨㄥˋ　ㄧㄡˇ,18,360223,67.908633
4578,名家,ㄇㄧㄥˊ　ㄐㄧㄚ,18,360241,67.912026
4579,回升,ㄏㄨㄟˊ　ㄕㄥ,18,360259,67.915419
4580,地板,ㄉㄧˋ　ㄅㄢˇ,18,360277,67.918812
4581,地獄,,18,360295,67.922205
4582,多餘,ㄉㄨㄛ　ㄩˊ,18,360313,67.925598
4583,好轉,ㄏㄠˇ　ㄓㄨㄢˇ,18,360331,67.928991
4584,安全感,ㄢ　ㄑㄩㄢˊ　ㄍㄢˇ,18,360349,67.932384
4585,年資,ㄋㄧㄢˊ　ㄗ,18,360367,67.935777
4586,曲折,ㄑㄩ　ㄓㄜˊ,18,360385,67.93917
4587,有用,ㄧㄡˇ　ㄩㄥˋ,18,360403,67.942563
4588,灰塵,ㄏㄨㄟ　ㄔㄣˊ,18,360421,67.945956
4589,老太太,ㄌㄠˇ　ㄊㄞˋ　˙ㄊㄞ,18,360439,67.949349
4590,老外,ㄌㄠˇ　ㄨㄞˋ,18,360457,67.952742
4591,自由化,,18,360475,67.956135
4592,自學案,,18,360493,67.959528
4593,行人,ㄒㄧㄥˊ　ㄖㄣˊ,18,360511,67.962921
4594,行走,ㄒㄧㄥˊ　ㄗㄡˇ,18,360529,67.966314
4595,行事,ㄒㄧㄥˊ　ㄕˋ,18,360547,67.969707
4596,西藏,,18,360565,67.9731
4597,住家,ㄓㄨˋ　ㄐㄧㄚ,18,360583,67.976493
4598,伴隨,ㄅㄢˋ　ㄙㄨㄟˊ,18,360601,67.979886
4599,低價,ㄉㄧ　ㄐㄧㄚˋ,18,360619,67.983279
4600,劫機,ㄐㄧㄝˊ　ㄐㄧ,18,360637,67.986672
4601,困惑,ㄎㄨㄣˋ　ㄏㄨㄛˋ,18,360655,67.990065
4602,宋代,,18,360673,67.993458
4603,抗體,ㄎㄤˋ　ㄊㄧˇ,18,360691,67.996851
4604,投注,ㄊㄡˊ　ㄓㄨˋ,18,360709,68.000244
4605,改建,ㄍㄞˇ　ㄐㄧㄢˋ,18,360727,68.003637
4606,李鵬,,18,360745,68.00703
4607,步行,ㄅㄨˋ　ㄒㄧㄥˊ,18,360763,68.010423
4608,每日,,18,360781,68.013816
4609,沉思,ㄔㄣˊ　ㄙ,18,360799,68.017209
4610,育樂,ㄩˋ　ㄌㄜˋ,18,360817,68.020602
4611,良心,ㄌㄧㄤˊ　ㄒㄧㄣ,18,360835,68.023995
4612,走訪,ㄗㄡˇ　ㄈㄤˇ,18,360853,68.027388
4613,防禦,ㄈㄤˊ　ㄩˋ,18,360871,68.030781
4614,來臺,,18,360889,68.034174
4615,受不了,ㄕㄡˋ　˙ㄅㄨ　ㄌㄧㄠˇ,18,360907,68.037567
4616,和尚,ㄏㄜˊ　ㄕㄤˋ,18,360925,68.04096
4617,定律,ㄉㄧㄥˋ　ㄌㄩˋ,18,360943,68.044353
4618,官場,ㄍㄨㄢ　ㄔㄤˇ,18,360961,68.047746
4619,招收,ㄓㄠ　ㄕㄡ,18,360979,68.051139
4620,拍照,ㄆㄞ　ㄓㄠˋ,18,360997,68.054532
4621,放假,ㄈㄤˋ　ㄐㄧㄚˋ,18,361015,68.057925
4622,板橋,ㄅㄢˇ　ㄑㄧㄠˊ,18,361033,68.061318
4623,油耗,,18,361051,68.064711
4624,狐狸,ㄏㄨˊ　ㄌㄧˊ　（變）ㄏㄨˊ　˙ㄌㄧ,18,361069,68.068104
4625,社交,ㄕㄜˋ　ㄐㄧㄠ,18,361087,68.071497
4626,肩膀,ㄐㄧㄢ　ㄅㄤˇ,18,361105,68.07489
4627,花燈,ㄏㄨㄚ　ㄉㄥ,18,361123,68.078283
4628,阻力,ㄗㄨˇ　ㄌㄧˋ,18,361141,68.081676
4629,雨天,ㄩˇ　ㄊㄧㄢ,18,361159,68.085069
4630,青春期,ㄑㄧㄥ　ㄔㄨㄣ　ㄑㄧˊ,18,361177,68.088462
4631,信徒,ㄒㄧㄣˋ　ㄊㄨˊ,18,361195,68.091855
4632,咱們,ㄗㄢˊ　˙ㄇㄣ,18,361213,68.095248
4633,後天,ㄏㄡˋ　ㄊㄧㄢ,18,361231,68.098641
4634,恆星,ㄏㄥˊ　ㄒㄧㄥ,18,361249,68.102034
4635,指引,ㄓˇ　ㄧㄣˇ,18,361267,68.105427
4636,政經,ㄓㄥˋ　ㄐㄧㄥ,18,361285,68.10882
4637,星體,ㄒㄧㄥ　ㄊㄧˇ,18,361303,68.112213
4638,某種,,18,361321,68.115606
4639,流通,ㄌㄧㄡˊ　ㄊㄨㄥ,18,361339,68.118999
4640,洞穴,ㄉㄨㄥˋ　ㄒㄩㄝˋ,18,361357,68.122392
4641,洗禮,ㄒㄧˇ　ㄌㄧˇ,18,361375,68.125785
4642,洛杉磯,,18,361393,68.129178
4643,珍品,ㄓㄣ　ㄆㄧㄣˇ,18,361411,68.132571
4644,珍珠,ㄓㄣ　ㄓㄨ,18,361429,68.135964
4645,相近,ㄒㄧㄤ　ㄐㄧㄣˋ,18,361447,68.139357
4646,研究員,ㄧㄢˊ　ㄐㄧㄡˋ　ㄩㄢˊ,18,361465,68.14275
4647,致命,ㄓˋ　ㄇㄧㄥˋ,18,361483,68.146143
4648,郊區,ㄐㄧㄠ　ㄑㄩ,18,361501,68.149536
4649,重疊,ㄔㄨㄥˊ　ㄉㄧㄝˊ,18,361519,68.152929
4650,風力,ㄈㄥ　ㄌㄧˋ,18,361537,68.156322
4651,風車,ㄈㄥ　ㄔㄜ,18,361555,68.159715
4652,悄悄,ㄑㄧㄠˇ　ㄑㄧㄠˇ,18,361573,68.163108
4653,捐贈,ㄐㄩㄢ　ㄗㄥˋ,18,361591,68.166501
4654,書包,ㄕㄨ　ㄅㄠ,18,361609,68.169894
4655,校舍,ㄒㄧㄠˋ　ㄕㄜˋ,18,361627,68.173287
4656,核准,ㄏㄜˊ　ㄓㄨㄣˇ,18,361645,68.17668
4657,根源,ㄍㄣ　ㄩㄢˊ,18,361663,68.180073
4658,格外,ㄍㄜˊ　ㄨㄞˋ,18,361681,68.183466
4659,消滅,ㄒㄧㄠ　ㄇㄧㄝˋ,18,361699,68.186859
4660,病童,ㄅㄧㄥˋ　ㄊㄨㄥˊ,18,361717,68.190252
4661,疲倦,ㄆㄧˊ　ㄐㄩㄢˋ,18,361735,68.193645
4662,疲勞,ㄆㄧˊ　ㄌㄠˊ,18,361753,68.197038
4663,祕書,ㄇㄧˋ　ㄕㄨ,18,361771,68.200431
4664,神秘,,18,361789,68.203824
4665,純粹,ㄔㄨㄣˊ　ㄘㄨㄟˋ,18,361807,68.207217
4666,討好,ㄊㄠˇ　ㄏㄠˇ,18,361825,68.21061
4667,配偶,ㄆㄟˋ　ㄡˇ,18,361843,68.214003
4668,高畫質,,18,361861,68.217396
4669,高視像,,18,361879,68.220789
4670,高雄縣,ㄍㄠ　ㄒㄩㄥˊ　ㄒㄧㄢˋ,18,361897,68.224182
4671,健身,ㄐㄧㄢˋ　ㄕㄣ,18,361915,68.227575
4672,動畫,ㄉㄨㄥˋ　ㄏㄨㄚˋ,18,361933,68.230968
4673,問世,ㄨㄣˋ　ㄕˋ,18,361951,68.234361
4674,國內外,,18,361969,68.237754
4675,接種,ㄐㄧㄝ　ㄓㄨㄥˋ,18,361987,68.241147
4676,推手,ㄊㄨㄟ　ㄕㄡˇ,18,362005,68.24454
4677,推進,ㄊㄨㄟ　ㄐㄧㄣˋ,18,362023,68.247933
4678,教養,ㄐㄧㄠˋ　ㄧㄤˇ,18,362041,68.251326
4679,梅爾,,18,362059,68.254719
4680,條例,ㄊㄧㄠˊ　ㄌㄧˋ,18,362077,68.258112
4681,瓶頸,ㄆㄧㄥˊ　ㄐㄧㄥˇ,18,362095,68.261505
4682,產物,ㄔㄢˇ　ㄨˋ,18,362113,68.264898
4683,票價,ㄆㄧㄠˋ　ㄐㄧㄚˋ,18,362131,68.268291
4684,細膩,ㄒㄧˋ　ㄋㄧˋ,18,362149,68.271684
4685,蛋白質,ㄉㄢˋ　ㄅㄞˊ　ㄓˊ,18,362167,68.275077
4686,這類,,18,362185,68.27847
4687,連結,ㄌㄧㄢˊ　ㄐㄧㄝˊ,18,362203,68.281863
4688,逝世,ㄕˋ　ㄕˋ,18,362221,68.285256
4689,部隊,ㄅㄨˋ　ㄉㄨㄟˋ,18,362239,68.288649
4690,都要,,18,362257,68.292042
4691,陳述,ㄔㄣˊ　ㄕㄨˋ,18,362275,68.295435
4692,創作者,,18,362293,68.298828
4693,就職,ㄐㄧㄡˋ　ㄓˊ,18,362311,68.302221
4694,殘酷,ㄘㄢˊ　ㄎㄨˋ,18,362329,68.305614
4695,湯匙,ㄊㄤ　ㄔˊ,18,362347,68.309007
4696,發電,ㄈㄚ　ㄉㄧㄢˋ,18,362365,68.3124
4697,結交,ㄐㄧㄝˊ　ㄐㄧㄠ,18,362383,68.315793
4698,紫色,ㄗˇ　ㄙㄜˋ,18,362401,68.319186
4699,進化,ㄐㄧㄣˋ　ㄏㄨㄚˋ,18,362419,68.322579
4700,開花,ㄎㄞ　ㄏㄨㄚ,18,362437,68.325972
4701,間接,ㄐㄧㄢˋ　ㄐㄧㄝ,18,362455,68.329365
4702,飲酒,ㄧㄣˇ　ㄐㄧㄡˇ,18,362473,68.332758
4703,奧妙,ㄠˋ　ㄇㄧㄠˋ,18,362491,68.336151
4704,意識形態,,18,362509,68.339544
4705,新莊,ㄒㄧㄣ　ㄓㄨㄤ,18,362527,68.342937
4706,毀滅,ㄏㄨㄟˇ　ㄇㄧㄝˋ,18,362545,68.34633
4707,當作,,18,362563,68.349723
4708,落差,ㄌㄨㄛˋ　ㄔㄚ,18,362581,68.353116
4709,跟隨,ㄍㄣ　ㄙㄨㄟˊ,18,362599,68.356509
4710,躲避,ㄉㄨㄛˇ　ㄅㄧˋ,18,362617,68.359902
4711,運行,ㄩㄣˋ　ㄒㄧㄥˊ,18,362635,68.363295
4712,遊樂,ㄧㄡˊ　ㄌㄜˋ,18,362653,68.366688
4713,違法,ㄨㄟˊ　ㄈㄚˇ,18,362671,68.370081
4714,過關,ㄍㄨㄛˋ　ㄍㄨㄢ,18,362689,68.373474
4715,實務,ㄕˊ　ㄨˋ,18,362707,68.376867
4716,嶄新,ㄓㄢˇ　ㄒㄧㄣ,18,362725,68.38026
4717,慢性,,18,362743,68.383653
4718,歌唱,ㄍㄜ　ㄔㄤˋ,18,362761,68.387046
4719,演唱會,,18,362779,68.390439
4720,瘧疾,ㄋㄩㄝˋ　ㄐㄧˊ,18,362797,68.393832
4721,盡頭,ㄐㄧㄣˋ　ㄊㄡˊ,18,362815,68.397225
4722,舞會,ㄨˇ　ㄏㄨㄟˋ,18,362833,68.400618
4723,蒼蠅,ㄘㄤ　ㄧㄥˊ,18,362851,68.404011
4724,齊全,ㄑㄧˊ　ㄑㄩㄢˊ,18,362869,68.407404
4725,儀器,ㄧˊ　ㄑㄧˋ,18,362887,68.410797
4726,增資,ㄗㄥ　ㄗ,18,362905,68.41419
4727,審慎,ㄕㄣˇ　ㄕㄣˋ,18,362923,68.417583
4728,寫實,ㄒㄧㄝˇ　ㄕˊ,18,362941,68.420976
4729,廚師,ㄔㄨˊ　ㄕ,18,362959,68.424369
4730,暫停,ㄓㄢˋ　ㄊㄧㄥˊ,18,362977,68.427762
4731,標榜,ㄅㄧㄠ　ㄅㄤˇ,18,362995,68.431155
4732,樓梯,ㄌㄡˊ　ㄊㄧ,18,363013,68.434548
4733,歐體,ㄡ　ㄊㄧˇ,18,363031,68.437941
4734,澄清,ㄉㄥˋ　ㄑㄧㄥ,18,363049,68.441334
4735,箱子,ㄒㄧㄤ　˙ㄗ,18,363067,68.444727
4736,糊塗,ㄏㄨˊ　ㄊㄨˊ,18,363085,68.44812
4737,衛署,,18,363103,68.451513
4738,調度,ㄉㄧㄠˋ　ㄉㄨˋ,18,363121,68.454906
4739,輝煌,ㄏㄨㄟ　ㄏㄨㄤˊ,18,363139,68.458299
4740,遷移,ㄑㄧㄢ　ㄧˊ,18,363157,68.461692
4741,震驚,ㄓㄣˋ　ㄐㄧㄥ,18,363175,68.465085
4742,墨西哥,,18,363193,68.468478
4743,器具,ㄑㄧˋ　ㄐㄩˋ,18,363211,68.471871
4744,學院,ㄒㄩㄝˊ　ㄩㄢˋ,18,363229,68.475264
4745,學術界,,18,363247,68.478657
4746,憲政,ㄒㄧㄢˋ　ㄓㄥˋ,18,363265,68.48205
4747,機票,ㄐㄧ　ㄆㄧㄠˋ,18,363283,68.485443
4748,燃料,ㄖㄢˊ　ㄌㄧㄠˋ,18,363301,68.488836
4749,獨裁,ㄉㄨˊ　ㄘㄞˊ,18,363319,68.492229
4750,親人,ㄑㄧㄣ　ㄖㄣˊ,18,363337,68.495622
4751,親密,ㄑㄧㄣ　ㄇㄧˋ,18,363355,68.499015
4752,謀殺,ㄇㄡˊ　ㄕㄚ,18,363373,68.502408
4753,輸入,ㄕㄨ　ㄖㄨˋ,18,363391,68.505801
4754,雕刻,ㄉㄧㄠ　ㄎㄜˋ,18,363409,68.509194
4755,雕像,ㄉㄧㄠ　ㄒㄧㄤˋ,18,363427,68.512587
4756,績效,ㄐㄧ　ㄒㄧㄠˋ,18,363445,68.51598
4757,總算,ㄗㄨㄥˇ　ㄙㄨㄢˋ,18,363463,68.519373
4758,隱隱,ㄧㄣˇ　ㄧㄣˇ,18,363481,68.522766
4759,藍天,ㄌㄢˊ　ㄊㄧㄢ,18,363499,68.526159
4760,轉播,ㄓㄨㄢˇ　ㄅㄛˋ,18,363517,68.529552
4761,醫學院,,18,363535,68.532945
4762,雙胞胎,ㄕㄨㄤ　ㄅㄠ　ㄊㄞ,18,363553,68.536338
4763,穩健,ㄨㄣˇ　ㄐㄧㄢˋ,18,363571,68.539731
4764,羅光男,,18,363589,68.543124
4765,藝文,ㄧˋ　ㄨㄣˊ,18,363607,68.546517
4766,證嚴法師,,18,363625,68.54991
4767,辭職,ㄘˊ　ㄓˊ,18,363643,68.553303
4768,嚴密,ㄧㄢˊ　ㄇㄧˋ,18,363661,68.556696
4769,寶藏,ㄅㄠˇ　ㄗㄤˋ,18,363679,68.560089
4770,競技,ㄐㄧㄥˋ　ㄐㄧˋ,18,363697,68.563482
4771,籌碼,ㄔㄡˊ　ㄇㄚˇ,18,363715,68.566875
4772,屬下,ㄕㄨˇ　ㄒㄧㄚˋ,18,363733,68.570268
4773,蠟燭,ㄌㄚˋ　ㄓㄨˊ,18,363751,68.573661
4774,纖維,ㄒㄧㄢ　ㄨㄟˊ,18,363769,68.577054
4775,驚奇,ㄐㄧㄥ　ㄑㄧˊ,18,363787,68.580447
4776,體溫計,ㄊㄧˇ　ㄨㄣ　ㄐㄧˋ,18,363805,68.58384
4777,人性化,,17,363822,68.587045
4778,力氣,ㄌㄧˋ　ㄑㄧˋ,17,363839,68.59025
4779,下班,ㄒㄧㄚˋ　ㄅㄢ,17,363856,68.593455
4780,凡事,ㄈㄢˊ　ㄕˋ,17,363873,68.59666
4781,大王,ㄉㄚˋ　ㄨㄤˊ,17,363890,68.599865
4782,大氣,ㄉㄚˋ　ㄑㄧˋ,17,363907,68.60307
4783,大道,ㄉㄚˋ　ㄉㄠˋ,17,363924,68.606275
4784,大餅,ㄉㄚˋ　ㄅㄧㄥˇ,17,363941,68.60948
4785,大學生,ㄉㄚˋ　ㄒㄩㄝˊ　ㄕㄥ,17,363958,68.612685
4786,小將,ㄒㄧㄠˇ　ㄐㄧㄤˋ,17,363975,68.61589
4787,小販,ㄒㄧㄠˇ　ㄈㄢˋ,17,363992,68.619095
4788,小鳥,,17,364009,68.6223
4789,小學生,ㄒㄧㄠˇ　ㄒㄩㄝˊ　ㄕㄥ,17,364026,68.625505
4790,中生代,ㄓㄨㄥ　ㄕㄥ　ㄉㄞˋ,17,364043,68.62871
4791,中南部,,17,364060,68.631915
4792,中葉,ㄓㄨㄥ　ㄧㄝˋ,17,364077,68.63512
4793,公式,ㄍㄨㄥ　ㄕˋ,17,364094,68.638325
4794,公眾,ㄍㄨㄥ　ㄓㄨㄥˋ,17,364111,68.64153
4795,公營,ㄍㄨㄥ　ㄧㄥˊ,17,364128,68.644735
4796,公雞,,17,364145,68.64794
4797,分工,ㄈㄣ　ㄍㄨㄥ,17,364162,68.651145
4798,分行,ㄈㄣ　ㄏㄤˊ,17,364179,68.65435
4799,化學,ㄏㄨㄚˋ　ㄒㄩㄝˊ,17,364196,68.657555
4800,太陽系,ㄊㄞˋ　ㄧㄤˊ　ㄒㄧˋ,17,364213,68.66076
4801,心結,ㄒㄧㄣ　ㄐㄧㄝˊ,17,364230,68.663965
4802,支票,ㄓ　ㄆㄧㄠˋ,17,364247,68.66717
4803,文書,ㄨㄣˊ　ㄕㄨ,17,364264,68.670375
4804,文獻,ㄨㄣˊ　ㄒㄧㄢˋ,17,364281,68.67358
4805,木柵,,17,364298,68.676785
4806,木頭,ㄇㄨˋ　˙ㄊㄡ,17,364315,68.67999
4807,毛衣,ㄇㄠˊ　ㄧ,17,364332,68.683195
4808,王鐘渝,,17,364349,68.6864
4809,出入,ㄔㄨ　ㄖㄨˋ,17,364366,68.689605
4810,古蹟,ㄍㄨˇ　ㄐㄧ,17,364383,68.69281
4811,布哥特,,17,364400,68.696015
4812,打扮,ㄉㄚˇ　ㄅㄢˋ,17,364417,68.69922
4813,未曾,ㄨㄟˋ　ㄘㄥˊ,17,364434,68.702425
4814,母雞,,17,364451,68.70563
4815,民代,ㄇㄧㄣˊ　ㄉㄞˋ,17,364468,68.708835
4816,生前,ㄕㄥ　ㄑㄧㄢˊ,17,364485,68.71204
4817,生薑,ㄕㄥ　ㄐㄧㄤ,17,364502,68.715245
4818,用餐,ㄩㄥˋ　ㄘㄢ,17,364519,68.71845
4819,田野,ㄊㄧㄢˊ　ㄧㄝˇ,17,364536,68.721655
4820,示威,ㄕˋ　ㄨㄟ,17,364553,68.72486
4821,仿冒,ㄈㄤˇ　ㄇㄠˋ,17,364570,68.728065
4822,伙伴,ㄏㄨㄛˇ　ㄅㄢˋ,17,364587,68.73127
4823,光碟,ㄍㄨㄤ　ㄉㄧㄝˊ,17,364604,68.734475
4824,名片,ㄇㄧㄥˊ　ㄆㄧㄢˋ,17,364621,68.73768
4825,名列,,17,364638,68.740885
4826,吃虧,ㄔ　ㄎㄨㄟ,17,364655,68.74409
4827,在意,ㄗㄞˋ　ㄧˋ,17,364672,68.747295
4828,多角化,ㄉㄨㄛ　ㄐㄧㄠˇ　ㄏㄨㄚˋ,17,364689,68.7505
4829,成千上萬,ㄔㄥˊ　ㄑㄧㄢ　ㄕㄤˋ　ㄨㄢˋ,17,364706,68.753705
4830,成績單,ㄔㄥˊ　ㄐㄧ　ㄉㄢ,17,364723,68.75691
4831,收支,ㄕㄡ　ㄓ,17,364740,68.760115
4832,收回,ㄕㄡ　ㄏㄨㄟˊ,17,364757,68.76332
4833,有力,ㄧㄡˇ　ㄌㄧˋ,17,364774,68.766525
4834,此後,ㄘˇ　ㄏㄡˋ,17,364791,68.76973
4835,老化,ㄌㄠˇ　ㄏㄨㄚˋ,17,364808,68.772935
4836,自行車,ㄗˋ　ㄒㄧㄥˊ　ㄔㄜ,17,364825,68.77614
4837,自治,ㄗˋ　ㄓˋ,17,364842,68.779345
4838,行李廂,,17,364859,68.78255
4839,西伯利亞,,17,364876,68.785755
4840,免疫,ㄇㄧㄢˇ　ㄧˋ,17,364893,68.78896
4841,妥協,ㄊㄨㄛˇ　ㄒㄧㄝˊ,17,364910,68.792165
4842,弟子,ㄉㄧˋ　ㄗˇ,17,364927,68.79537
4843,把關,ㄅㄚˇ　ㄍㄨㄢ,17,364944,68.798575
4844,折磨,ㄓㄜˊ　ㄇㄛˊ,17,364961,68.80178
4845,杜絕,ㄉㄨˋ　ㄐㄩㄝˊ,17,364978,68.804985
4846,谷底,ㄍㄨˇ　ㄉㄧˇ,17,364995,68.80819
4847,身份,,17,365012,68.811395
4848,身價,ㄕㄣ　ㄐㄧㄚˋ,17,365029,68.8146
4849,乳頭,ㄖㄨˇ　ㄊㄡˊ,17,365046,68.817805
4850,事宜,ㄕˋ　ㄧˊ,17,365063,68.82101
4851,來到,,17,365080,68.824215
4852,來往,ㄌㄞˊ　ㄨㄤˇ,17,365097,68.82742
4853,呼應,ㄏㄨ　ㄧㄥˋ,17,365114,68.830625
4854,忠實,ㄓㄨㄥ　ㄕˊ,17,365131,68.83383
4855,果實,ㄍㄨㄛˇ　ㄕˊ,17,365148,68.837035
4856,法官,ㄈㄚˇ　ㄍㄨㄢ,17,365165,68.84024
4857,油畫,ㄧㄡˊ　ㄏㄨㄚˋ,17,365182,68.843445
4858,版畫,ㄅㄢˇ　ㄏㄨㄚˋ,17,365199,68.84665
4859,返鄉,,17,365216,68.849855
4860,金牌,ㄐㄧㄣ　ㄆㄞˊ,17,365233,68.85306
4861,金權,,17,365250,68.856265
4862,阿魯族,,17,365267,68.85947
4863,附加價值,ㄈㄨˋ　ㄐㄧㄚ　ㄐㄧㄚˋ　ㄓˊ,17,365284,68.862675
4864,保額,,17,365301,68.86588
4865,前方,ㄑㄧㄢˊ　ㄈㄤ,17,365318,68.869085
4866,前所未有,,17,365335,68.87229
4867,勉強,ㄇㄧㄢˇ　ㄑㄧㄤˇ,17,365352,68.875495
4868,勃起,ㄅㄛˊ　ㄑㄧˇ,17,365369,68.8787
4869,封面,ㄈㄥ　ㄇㄧㄢˋ,17,365386,68.881905
4870,後悔,ㄏㄡˋ　ㄏㄨㄟˇ,17,365403,68.88511
4871,急遽,ㄐㄧˊ　ㄐㄩˋ,17,365420,68.888315
4872,持股,,17,365437,68.89152
4873,星期天,ㄒㄧㄥ　ㄑㄧˊ　ㄊㄧㄢ,17,365454,68.894725
4874,洋行,ㄧㄤˊ　ㄏㄤˊ,17,365471,68.89793
4875,為主,,17,365488,68.901135
4876,省立,ㄕㄥˇ　ㄌㄧˋ,17,365505,68.90434
4877,相機,ㄒㄧㄤˋ　ㄐㄧ,17,365522,68.907545
4878,穿越,ㄔㄨㄢ　ㄩㄝˋ,17,365539,68.91075
4879,突變,ㄊㄨˊ　ㄅㄧㄢˋ,17,365556,68.913955
4880,苦難,ㄎㄨˇ　ㄋㄢˋ,17,365573,68.91716
4881,迫害,ㄆㄛˋ　ㄏㄞˋ,17,365590,68.920365
4882,郊外,ㄐㄧㄠ　ㄨㄞˋ,17,365607,68.92357
4883,重力,ㄓㄨㄥˋ　ㄌㄧˋ,17,365624,68.926775
4884,重覆,,17,365641,68.92998
4885,風俗,ㄈㄥ　ㄙㄨˊ,17,365658,68.933185
4886,風雲,ㄈㄥ　ㄩㄣˊ,17,365675,68.93639
4887,飛彈,ㄈㄟ　ㄉㄢˋ,17,365692,68.939595
4888,候鳥,ㄏㄡˋ　ㄋㄧㄠˇ,17,365709,68.9428
4889,修行,ㄒㄧㄡ　ㄒㄧㄥˊ,17,365726,68.946005
4890,夏威夷,,17,365743,68.94921
4891,孫悟空,ㄙㄨㄣ　ㄨˋ　ㄎㄨㄥ,17,365760,68.952415
4892,宮殿,ㄍㄨㄥ　ㄉㄧㄢˋ,17,365777,68.95562
4893,拿出,,17,365794,68.958825
4894,書店,ㄕㄨ　ㄉㄧㄢˋ,17,365811,68.96203
4895,病因,ㄅㄧㄥˋ　ㄧㄣ,17,365828,68.965235
4896,真主,ㄓㄣ　ㄓㄨˇ,17,365845,68.96844
4897,翅膀,ㄔˋ　ㄅㄤˇ,17,365862,68.971645
4898,脆弱,ㄘㄨㄟˋ　ㄖㄨㄛˋ,17,365879,68.97485
4899,草地,ㄘㄠˇ　ㄉㄧˋ,17,365896,68.978055
4900,配置,ㄆㄟˋ　ㄓˋ,17,365913,68.98126
4901,高考,ㄍㄠ　ㄎㄠˇ,17,365930,68.984465
4902,高溫,ㄍㄠ　ㄨㄣ,17,365947,68.98767
4903,高層,,17,365964,68.990875
4904,副總經理,,17,365981,68.99408
4905,商務,ㄕㄤ　ㄨˋ,17,365998,68.997285
4906,國建,ㄍㄨㄛˊ　ㄐㄧㄢˋ,17,366015,69.00049
4907,婦人,ㄈㄨˋ　ㄖㄣˊ,17,366032,69.003695
4908,張德培,,17,366049,69.0069
4909,探親,ㄊㄢˋ　ㄑㄧㄣ,17,366066,69.010105
4910,掛帥,ㄍㄨㄚˋ　ㄕㄨㄞˋ,17,366083,69.01331
4911,救援,ㄐㄧㄡˋ　ㄩㄢˊ,17,366100,69.016515
4912,敗壞,ㄅㄞˋ　ㄏㄨㄞˋ,17,366117,69.01972
4913,晚期,ㄨㄢˇ　ㄑㄧˊ,17,366134,69.022925
